file_date,cluster_id,gdelt_type,gdelt_date,gdelt_iso3,gdelt_location,gdelt_n_articles,gdelt_confidence,gdelt_lat,gdelt_lon,match_type,distance_km,acled_event_id,acled_date,acled_location,acled_sub_event,acled_actor
2018-01-01,MAR_protests_20171222_c0023,protests,2017-12-22,MAR,"Morocco, Jerada",1.0,0.9,34.3105,-2.16,geographic,0.1,MOR1261,2018-01-03,Jerada (Oriental),Peaceful protest,
2018-01-01,SAU_protests_20180101_c0024,protests,2018-01-01,SAU,"Saudi Arabia, Riyadh, King Faisal Hospital",1.0,0.8,24.6707,46.6745,no_match,,,,,,
2018-01-01,IND_protests_20180101_c0025,protests,2018-01-01,IND,"India, Andhra Pradesh, Visakhapatnam",1.0,0.8,17.6935,83.2921,country_only,352.0,IND120372,2018-01-01,Dharambandha (Odisha),Peaceful protest,
2018-01-01,IRN_protests_20171228_c0026,protests,2017-12-28,IRN,"Iran, Tehran, central Tehran",1.0,0.9,35.7246,51.0838,geographic,14.6,IRN15194,2018-01-02,Karaj (Alborz),Peaceful protest,
2018-01-01,NGA_protests_20180101_c0027,protests,2018-01-01,NGA,Nigeria,1.0,0.7,8.0,8.0,geographic,63.3,NIG11654,2018-01-03,Makurdi (Benue),Violent demonstration,
2018-01-01,IRN_protests_20180104_c0028,protests,2018-01-04,IRN,Iran,1.0,0.9,35.75,51.5148,geographic,10.4,IRN15205,2018-01-03,Tehran (Tehran),Peaceful protest,
2018-01-01,PAK_protests_20180101_c0029,protests,2018-01-01,PAK,Pakistan,1.0,0.7,,,country_only,,PAK38713,2018-01-01,Nawabshah (Sindh),Peaceful protest,
2018-01-01,NGA_labour_strike_20180101_c0030,labour_strike,2018-01-01,NGA,Nigeria,1.0,0.9,8.3167,8.5167,geographic,64.0,NIG11654,2018-01-03,Makurdi (Benue),Violent demonstration,
2018-01-01,MYS_protests_20180101_c0031,protests,2018-01-01,MYS,Malaysia,1.0,0.75,3.1667,101.7,country_only,291.9,MYS1,2018-01-03,George Town (Penang),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,AFG8060,2018-01-01,Herat (Herat),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BHR7937,2018-01-01,Al Akr (Capital),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,BHR7946,2018-01-01,Nuwaidrat (Southern),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,BHR7945,2018-01-01,Al Maamir (Capital),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,BHR7936,2018-01-01,Al Akr (Capital),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,BHR7944,2018-01-01,Al Maamir (Capital),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,BHR7939,2018-01-01,Sitrah (Capital),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,BHR7941,2018-01-01,Al Muqsha (Capital),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BHR7940,2018-01-01,Abu Saybi (Northern),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BHR7942,2018-01-01,Ash Shakhurah (Northern),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BHR7943,2018-01-01,Barbar (Northern),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BHR7938,2018-01-01,Al Daih (Capital),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BRA24093,2018-01-01,Teresina (Piaui),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BRA35626,2018-01-01,Cuiaba (Mato Grosso),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,BRA20331,2018-01-01,Rio de Janeiro - North Zone (Rio de Janeiro),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,BRA20330,2018-01-01,Marcolandia (Piaui),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,CHN6488,2018-01-01,Beipiao (Liaoning),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,CHN6529,2018-01-01,Haifeng (Guangdong),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,CHN6857,2018-01-01,Lengshuitan (Hunan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,CHN6858,2018-01-01,Jiangcheng (Guangdong),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,CHN7994,2018-01-01,Hong Kong - Wan Chai (Hong Kong),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,CHN8400,2018-01-01,Hong Kong - Sham Shui Po (Hong Kong),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,CHN5499,2018-01-01,Hong Kong - Central and Western (Hong Kong),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,CRI817,2018-01-01,San Jose (San Jose),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,EGY9453,2018-01-01,Cairo (Cairo),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,ETH4180,2018-01-01,Shambu (Oromia),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,ETH4177,2018-01-01,Ambo (Oromia),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,ETH4178,2018-01-01,Bako (Oromia),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,ETH4179,2018-01-01,Gelila (Oromia),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,IDN10618,2018-01-01,Serang (Banten),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IDN3255,2018-01-01,Makassar (South Sulawesi),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IDN645,2018-01-01,Kenyam (Highland Papua),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IND25509,2018-01-01,Jammu (Jammu and Kashmir),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25511,2018-01-01,Kathua (Jammu and Kashmir),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25500,2018-01-01,Ratia (Haryana),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IND25501,2018-01-01,Hyderabad (Telangana),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND92962,2018-01-01,Lilong (Manipur),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25515,2018-01-01,Srinagar (Jammu and Kashmir),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,IND25513,2018-01-01,Pampore (Jammu and Kashmir),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IND25516,2018-01-01,Srinagar (Jammu and Kashmir),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25502,2018-01-01,Hatti (Karnataka),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,IND25505,2018-01-01,Thiruvananthapuram (Kerala),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25508,2018-01-01,Koregaon Bhima (Maharashtra),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IND25496,2018-01-01,Bundi (Rajasthan),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,IND25507,2018-01-01,Muzhakkunnu (Kerala),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IND120254,2018-01-01,Cooch Behar (West Bengal),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,IND25504,2018-01-01,Shimoga (Karnataka),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25503,2018-01-01,Hubballi (Karnataka),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25491,2018-01-01,Bathinda (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25492,2018-01-01,Bathinda (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25493,2018-01-01,Kharar (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25494,2018-01-01,Rupnagar (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25497,2018-01-01,Bhiwani (Haryana),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25498,2018-01-01,Hansi (Haryana),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25495,2018-01-01,Zirakpur (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IND25490,2018-01-01,Amritsar (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN290,2018-01-01,Ravasan (East Azerbaijan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN294,2018-01-01,Birjand (South Khorasan),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,IRN292,2018-01-01,Shadegan (Khuzestan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN295,2018-01-01,Tehran - District 6 (Tehran),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,IRN17121,2018-01-01,Kangan (Bushehr),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN17120,2018-01-01,Tabriz (East Azerbaijan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN17122,2018-01-01,Nurabad (Fars),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,IRN17124,2018-01-01,Tuyserkan (Hamadan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15178,2018-01-01,Karaj (Alborz),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15185,2018-01-01,Ardabil (Ardabil),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15193,2018-01-01,Bandar e Bushehr (Bushehr),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15184,2018-01-01,Tabriz (East Azerbaijan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15183,2018-01-01,Rasht (Gilan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15182,2018-01-01,Nahavand (Hamadan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15190,2018-01-01,Khomeyni Shahr (Isfahan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15189,2018-01-01,Najafabad (Isfahan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15188,2018-01-01,Qahderijan (Isfahan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15187,2018-01-01,Shahin Shahr (Isfahan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15179,2018-01-01,Kangavar (Kermanshah),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15180,2018-01-01,Kermanshah (Kermanshah),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15181,2018-01-01,Masjed Soleyman (Khuzestan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15191,2018-01-01,Bandar e Mahshahr (Khuzestan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15177,2018-01-01,Sanandaj (Kurdistan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15192,2018-01-01,Takestan (Qazvin),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15176,2018-01-01,Yazd (Yazd),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,IRN15186,2018-01-01,Zanjan (Zanjan),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,ISR11850,2018-01-01,Jerusalem (Jerusalem),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,JPN4379,2018-01-01,Chigasaki (Kanagawa),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,JPN3870,2018-01-01,Nagasaki (Nagasaki),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,JPN5130,2018-01-01,Nago (Okinawa),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,JPN3981,2018-01-01,Chigasaki (Kanagawa),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,KGZ55,2018-01-01,Kazarman (Jalal-Abad),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,MOR1257,2018-01-01,Jerada (Oriental),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,NEP1734,2018-01-01,Dhankuta (Koshi),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,NEP7567,2018-01-01,Dhikure Pokhari (Gandaki),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,NEP16863,2018-01-01,Birganj (Madhesh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,NEP13522,2018-01-01,Baguwa (Gandaki),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,NEP13211,2018-01-01,Kathmandu (Bagmati),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,NEP16862,2018-01-01,Pyuthan (Lumbini),Violent demonstration,
2018-01-01,,,,,,,,,,acled_only,,PAK38707,2018-01-01,Peshawar (Khyber Pakhtunkhwa),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38712,2018-01-01,Sujawal (Sindh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38705,2018-01-01,Gujranwala (Punjab),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38718,2018-01-01,Karachi - Saddar (Sindh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38710,2018-01-01,Ghotki (Sindh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38711,2018-01-01,Sukkur (Sindh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38708,2018-01-01,Dera Ismail Khan (Khyber Pakhtunkhwa),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38709,2018-01-01,Gambat (Sindh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38715,2018-01-01,Mehrabpur (Sindh),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PAK38717,2018-01-01,Khar (FATA),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,PSE25002,2018-01-01,Al Burayj (Gaza Strip),Excessive force against protesters,
2018-01-01,,,,,,,,,,acled_only,,PSE25004,2018-01-01,Khuzaa (Gaza Strip),Excessive force against protesters,
2018-01-01,,,,,,,,,,acled_only,,PSE25006,2018-01-01,Al Quds - Al Ayzariyah (West Bank),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,PSE25007,2018-01-01,Al Quds - Isawiya (West Bank),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,PSE25008,2018-01-01,Duhayshah Camp (West Bank),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,SUD10994,2018-01-01,Otash IDP Camp (South Darfur),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,TUR23636,2018-01-01,Mesrutiyet (Ankara),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,TUR24424,2018-01-01,Kadikoy (Istanbul),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,TUR24425,2018-01-01,Bakirkoy (Istanbul),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,TWN1178,2018-01-01,Taipei City - Zhongzheng (Taipei City),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,TWN1527,2018-01-01,Taipei City - Zhongzheng (Taipei City),Protest with intervention,
2018-01-01,,,,,,,,,,acled_only,,UGA5050,2018-01-01,Makindye (Kampala),Mob violence,
2018-01-01,,,,,,,,,,acled_only,,UKR39144,2018-01-01,Avdiivka (Donetsk),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR39145,2018-01-01,Zhytomyr (Zhytomyr),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR39143,2018-01-01,Poltava (Poltava),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR7,2018-01-01,Kupiansk (Kharkiv),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR4,2018-01-01,Kyiv (Kyiv City),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR1,2018-01-01,Dnipro (Dnipropetrovsk),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR13,2018-01-01,Slovyansk (Donetsk),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR14,2018-01-01,Sumy (Sumy),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR15,2018-01-01,Ternopil (Ternopil),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR16,2018-01-01,Zaporizhia (Zaporizhia),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR2,2018-01-01,Kharkiv (Kharkiv),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR6,2018-01-01,Kryvyi Rih (Dnipropetrovsk),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR8,2018-01-01,Lviv (Lviv),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR9,2018-01-01,Melitopol (Zaporizhia),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR12,2018-01-01,Rivne (Rivne),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR3,2018-01-01,Kherson (Kherson),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR39146,2018-01-01,Cherkasy (Cherkasy),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,UKR39147,2018-01-01,Kropyvnytskyi (Kirovohrad),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,VEN6368,2018-01-01,Maturin (Monagas),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,VEN8468,2018-01-01,Caracas - Libertador (Distrito Capital),Excessive force against protesters,
2018-01-01,,,,,,,,,,acled_only,,VNM138,2018-01-01,Ninh An (Khanh Hoa),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,YEM23373,2018-01-01,Al Hadiyah (Raymah),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,YEM23374,2018-01-01,Ad Dil (Raymah),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,YEM23372,2018-01-01,Al Mirwah (Al Mahwit),Peaceful protest,
2018-01-01,,,,,,,,,,acled_only,,SAF9446,2018-01-01,East Rand (Gauteng),Violent demonstration,
