disruption_type,url_count,url_bucket
unknown,1,1
unknown,1,1
unknown,1,1
labour_strike,1,1
country_relations,2,2-3
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
tariffs,1,1
unknown,1,1
flood,1,1
unknown,1,1
unknown,1,1
drought,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
tariffs,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
extreme_heat,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
flood,1,1
flood,1,1
protests,3,2-3
flood,1,1
tariffs,3,2-3
protests,1,1
tariffs,1,1
country_relations,1,1
flood,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,1,1
tariffs,1,1
cyclone_hurricane,1,1
flood,1,1
protests,1,1
country_relations,1,1
tariffs,1,1
tariffs,1,1
flood,1,1
labour_strike,1,1
flood,1,1
flood,4,4-5
flood,1,1
tariffs,1,1
flood,1,1
protests,1,1
cyclone_hurricane,1,1
labour_strike,1,1
drought,1,1
protests,1,1
protests,1,1
protests,1,1
tariffs,1,1
tariffs,1,1
tariffs,1,1
extreme_heat,1,1
protests,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
tariffs,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
tariffs,1,1
extreme_heat,1,1
tariffs,1,1
tariffs,1,1
earthquake,1,1
protests,1,1
protests,1,1
protests,1,1
tariffs,1,1
country_relations,1,1
protests,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
trade_embargo,1,1
country_relations,1,1
protests,1,1
flood,1,1
flood,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
tariffs,1,1
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
protests,1,1
country_relations,1,1
country_relations,2,2-3
protests,1,1
flood,1,1
flood,1,1
labour_strike,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
protests,1,1
country_relations,1,1
tariffs,1,1
labour_strike,1,1
extreme_heat,1,1
country_relations,1,1
flood,1,1
cyclone_hurricane,1,1
flood,1,1
extreme_heat,1,1
cyclone_hurricane,1,1
protests,1,1
flood,1,1
earthquake,1,1
flood,1,1
labour_strike,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
cyclone_hurricane,1,1
country_relations,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
tariffs,1,1
unknown,1,1
unknown,1,1
protests,1,1
flood,1,1
unknown,1,1
protests,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
tariffs,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
trade_embargo,2,2-3
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
trade_embargo,1,1
unknown,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
protests,1,1
unknown,1,1
country_relations,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
tariffs,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
extreme_heat,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
trade_embargo,1,1
unknown,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
trade_embargo,1,1
protests,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
labour_strike,1,1
flood,1,1
tariffs,1,1
protests,1,1
protests,1,1
labour_strike,1,1
cyclone_hurricane,1,1
flood,1,1
flood,1,1
tariffs,1,1
flood,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
labour_strike,1,1
tariffs,1,1
protests,1,1
tariffs,1,1
country_relations,1,1
protests,1,1
flood,1,1
protests,1,1
country_relations,1,1
tariffs,1,1
country_relations,1,1
cyclone_hurricane,1,1
protests,4,4-5
trade_embargo,1,1
tariffs,2,2-3
trade_embargo,1,1
flood,1,1
flood,1,1
protests,1,1
protests,1,1
flood,1,1
flood,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
protests,1,1
flood,1,1
extreme_heat,1,1
protests,1,1
protests,1,1
labour_strike,1,1
labour_strike,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
tariffs,1,1
protests,1,1
protests,1,1
country_relations,1,1
flood,1,1
drought,1,1
protests,1,1
protests,1,1
country_relations,6,6+
country_relations,1,1
protests,1,1
protests,1,1
labour_strike,1,1
tariffs,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,3,2-3
flood,1,1
country_relations,1,1
cyclone_hurricane,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
tariffs,1,1
country_relations,1,1
cyclone_hurricane,1,1
protests,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
protests,1,1
cyclone_hurricane,1,1
labour_strike,1,1
labour_strike,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
protests,1,1
tariffs,3,2-3
protests,1,1
flood,1,1
protests,1,1
country_relations,1,1
trade_embargo,2,2-3
protests,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
earthquake,1,1
country_relations,1,1
country_relations,1,1
labour_strike,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
labour_strike,1,1
protests,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,1,1
labour_strike,1,1
cyclone_hurricane,1,1
labour_strike,1,1
flood,1,1
protests,1,1
protests,1,1
cyclone_hurricane,1,1
flood,1,1
tariffs,1,1
country_relations,3,2-3
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
extreme_heat,1,1
flood,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
trade_embargo,3,2-3
country_relations,1,1
cyclone_hurricane,1,1
country_relations,1,1
flood,1,1
trade_embargo,1,1
country_relations,1,1
unknown,1,1
protests,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
country_relations,1,1
flood,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
country_relations,1,1
flood,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
country_relations,1,1
protests,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,2,2-3
unknown,1,1
drought,1,1
protests,1,1
unknown,1,1
country_relations,1,1
flood,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
labour_strike,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
flood,1,1
country_relations,1,1
protests,1,1
unknown,1,1
country_relations,1,1
tariffs,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
extreme_heat,1,1
protests,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
trade_embargo,1,1
tariffs,1,1
unknown,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
labour_strike,1,1
unknown,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
trade_embargo,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
mine_accident,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
landslide,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
drought,1,1
drought,1,1
trade_embargo,1,1
tariffs,1,1
protests,1,1
flood,1,1
protests,1,1
protests,1,1
protests,1,1
protests,1,1
labour_strike,1,1
protests,7,6+
protests,9,6+
cyclone_hurricane,1,1
tariffs,1,1
country_relations,1,1
tariffs,4,4-5
country_relations,1,1
country_relations,14,6+
protests,1,1
protests,1,1
labour_strike,2,2-3
cyclone_hurricane,1,1
country_relations,1,1
protests,1,1
earthquake,1,1
earthquake,1,1
protests,1,1
protests,2,2-3
protests,4,4-5
earthquake,1,1
protests,1,1
protests,1,1
protests,1,1
cyclone_hurricane,1,1
flood,1,1
protests,1,1
country_relations,1,1
protests,1,1
protests,3,2-3
cyclone_hurricane,1,1
protests,1,1
protests,1,1
trade_embargo,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,3,2-3
flood,2,2-3
earthquake,1,1
protests,1,1
country_relations,1,1
flood,2,2-3
extreme_heat,1,1
cyclone_hurricane,1,1
country_relations,1,1
protests,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
earthquake,1,1
country_relations,2,2-3
country_relations,1,1
country_relations,1,1
extreme_heat,1,1
flood,1,1
protests,1,1
protests,1,1
country_relations,1,1
drought,1,1
country_relations,1,1
labour_strike,1,1
protests,1,1
flood,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,5,4-5
flood,1,1
country_relations,1,1
trade_embargo,3,2-3
country_relations,1,1
extreme_heat,1,1
labour_strike,1,1
cyclone_hurricane,1,1
protests,1,1
protests,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
trade_embargo,1,1
protests,1,1
labour_strike,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
extreme_heat,1,1
protests,1,1
extreme_heat,1,1
country_relations,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
cyclone_hurricane,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,2,2-3
protests,1,1
landslide,1,1
unknown,1,1
unknown,1,1
country_relations,2,2-3
country_relations,1,1
unknown,1,1
unknown,1,1
cyclone_hurricane,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
country_relations,1,1
drought,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
trade_embargo,1,1
unknown,1,1
unknown,2,2-3
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,2,2-3
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
extreme_heat,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
protests,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
earthquake,1,1
unknown,1,1
unknown,1,1
unknown,1,1
flood,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
earthquake,1,1
country_relations,1,1
country_relations,1,1
labour_strike,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
tariffs,1,1
protests,1,1
protests,1,1
protests,1,1
protests,1,1
protests,1,1
trade_embargo,1,1
labour_strike,1,1
cyclone_hurricane,1,1
protests,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
protests,1,1
flood,1,1
protests,1,1
protests,2,2-3
flood,1,1
cyclone_hurricane,1,1
protests,1,1
protests,1,1
tariffs,1,1
tariffs,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
country_relations,2,2-3
protests,2,2-3
cyclone_hurricane,1,1
protests,1,1
protests,1,1
flood,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
cyclone_hurricane,1,1
flood,1,1
protests,1,1
protests,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
tariffs,1,1
landslide,1,1
protests,1,1
country_relations,1,1
protests,4,4-5
labour_strike,1,1
country_relations,1,1
country_relations,1,1
cyclone_hurricane,3,2-3
cyclone_hurricane,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
country_relations,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,1,1
flood,1,1
extreme_heat,5,4-5
country_relations,1,1
earthquake,1,1
protests,1,1
protests,8,6+
protests,1,1
country_relations,5,4-5
protests,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
flood,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
flood,1,1
country_relations,1,1
cyclone_hurricane,1,1
country_relations,1,1
trade_embargo,1,1
flood,1,1
country_relations,3,2-3
country_relations,1,1
cyclone_hurricane,1,1
country_relations,2,2-3
country_relations,1,1
protests,1,1
protests,1,1
protests,1,1
country_relations,1,1
trade_embargo,1,1
protests,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
cyclone_hurricane,1,1
country_relations,1,1
protests,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
unknown,1,1
protests,1,1
protests,1,1
trade_embargo,1,1
country_relations,2,2-3
unknown,1,1
protests,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
country_relations,2,2-3
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
tariffs,1,1
unknown,1,1
earthquake,2,2-3
unknown,1,1
unknown,1,1
flood,2,2-3
country_relations,1,1
country_relations,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,2,2-3
unknown,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
country_relations,2,2-3
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
cyclone_hurricane,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
trade_embargo,1,1
protests,1,1
labour_strike,1,1
unknown,1,1
extreme_heat,1,1
tariffs,1,1
tariffs,1,1
tariffs,1,1
tariffs,1,1
flood,1,1
flood,14,6+
protests,1,1
protests,1,1
country_relations,1,1
country_relations,4,4-5
protests,1,1
protests,1,1
tariffs,3,2-3
tariffs,2,2-3
tariffs,2,2-3
protests,1,1
protests,11,6+
protests,1,1
cyclone_hurricane,1,1
protests,1,1
flood,1,1
protests,1,1
trade_embargo,3,2-3
tariffs,1,1
protests,1,1
protests,1,1
labour_strike,3,2-3
protests,1,1
cyclone_hurricane,1,1
protests,1,1
protests,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
country_relations,1,1
protests,1,1
flood,2,2-3
flood,1,1
protests,1,1
country_relations,1,1
flood,1,1
landslide,1,1
drought,1,1
flood,2,2-3
country_relations,1,1
tariffs,1,1
labour_strike,1,1
country_relations,11,6+
tariffs,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
drought,1,1
drought,1,1
country_relations,1,1
flood,1,1
country_relations,1,1
protests,5,4-5
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
tariffs,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
flood,1,1
cyclone_hurricane,1,1
trade_embargo,2,2-3
protests,1,1
protests,1,1
labour_strike,1,1
cyclone_hurricane,1,1
protests,2,2-3
cyclone_hurricane,1,1
country_relations,1,1
protests,2,2-3
flood,1,1
tariffs,1,1
tariffs,1,1
flood,1,1
trade_embargo,1,1
protests,1,1
country_relations,1,1
tariffs,1,1
trade_embargo,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
country_relations,2,2-3
cyclone_hurricane,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
trade_embargo,1,1
protests,1,1
flood,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
flood,1,1
labour_strike,1,1
cyclone_hurricane,1,1
labour_strike,1,1
trade_embargo,1,1
flood,2,2-3
country_relations,2,2-3
country_relations,1,1
cyclone_hurricane,1,1
trade_embargo,1,1
country_relations,1,1
flood,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
country_relations,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,1,1
cyclone_hurricane,1,1
protests,1,1
tariffs,1,1
protests,1,1
country_relations,3,2-3
trade_embargo,1,1
protests,1,1
country_relations,4,4-5
flood,1,1
trade_embargo,1,1
country_relations,9,6+
protests,1,1
country_relations,1,1
protests,1,1
cyclone_hurricane,1,1
country_relations,1,1
cyclone_hurricane,3,2-3
trade_embargo,2,2-3
labour_strike,1,1
protests,1,1
trade_embargo,1,1
flood,1,1
trade_embargo,1,1
country_relations,1,1
cyclone_hurricane,1,1
tariffs,1,1
tariffs,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
cyclone_hurricane,1,1
labour_strike,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
flood,1,1
protests,1,1
country_relations,2,2-3
country_relations,1,1
country_relations,5,4-5
country_relations,1,1
country_relations,2,2-3
labour_strike,1,1
country_relations,1,1
trade_embargo,1,1
drought,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
extreme_heat,1,1
country_relations,4,4-5
cyclone_hurricane,1,1
country_relations,1,1
cyclone_hurricane,1,1
trade_embargo,1,1
protests,1,1
unknown,1,1
country_relations,1,1
trade_embargo,1,1
labour_strike,1,1
unknown,1,1
protests,1,1
unknown,1,1
country_relations,2,2-3
country_relations,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
unknown,1,1
landslide,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,2,2-3
unknown,1,1
unknown,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
trade_embargo,1,1
flood,3,2-3
tariffs,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
earthquake,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
extreme_heat,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
labour_strike,1,1
country_relations,1,1
country_relations,1,1
unknown,1,1
tariffs,1,1
country_relations,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
unknown,1,1
flood,1,1
trade_embargo,2,2-3
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
labour_strike,1,1
unknown,1,1
drought,2,2-3
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
labour_strike,1,1
flood,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
extreme_heat,2,2-3
unknown,1,1
unknown,1,1
country_relations,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
protests,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
earthquake,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
protests,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
tariffs,1,1
flood,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
flood,1,1
unknown,1,1
country_relations,1,1
labour_strike,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
cyclone_hurricane,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
tariffs,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
unknown,1,1
unknown,1,1
labour_strike,1,1
unknown,1,1
tariffs,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
tariffs,1,1
tariffs,1,1
