globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl,url_normalized,title,meta_description,http_status,fetch_error
1149162287,20240101,20240101004500,010,010,01,1,2,1,2,0,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20240101004500,https://deadline.com/2023/12/scott-frank-script-doctor-saving-private-ryan-1235684157/,https://deadline.com/2023/12/scott-frank-script-doctor-saving-private-ryan-1235684157/,Scott Frank Reveals The Films He's Worked On As A Script Doctor,"The list includes 'Saving Private Ryan,' 'The Ring,' 'Gravity,' 'Night at the Museum,' 'Rise of the Planet of the Apes' and 'The Hunger Games: Catching Fire.'",200,
1149162288,20240101,20240101004500,014,014,01,1,2,1,2,-6.43203883495143,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20240101004500,https://www.foxbusiness.com/lifestyle/toxic-positivity-work-too-much-optimism-can-hurt-employee-productivity-experts,https://www.foxbusiness.com/lifestyle/toxic-positivity-work-too-much-optimism-can-hurt-employee-productivity-experts,Toxic positivity at work: Can too much optimism hinder employee productivity? | Fox Business,"The trending topic of ""toxic positivity"" and how it can affect workers on the job has three workplace experts weighing in with concerns for business leaders and managers.",200,
1149162292,20240101,20240101004500,042,042,04,1,2,1,2,1.61943319838057,"Lubbock, Texas, United States",US,USTX,TX303,33.5779,-101.855,1374760,20240101004500,https://www.kcbd.com/2024/01/01/city-lubbock-hosting-meetings-help-residents-select-new-retail-electric-provider/,https://www.kcbd.com/2024/01/01/city-lubbock-hosting-meetings-help-residents-select-new-retail-electric-provider/,City of Lubbock hosting meetings to help residents select new retail electric provider,"With electric retail competition coming to Lubbock in 2024, the city be hosting shopping fairs to help customers understand the process and make the best choice for themselves.",200,
1149162294,20240101,20240101004500,084,084,08,2,4,1,4,-4.08163265306123,"Chillicothe, Missouri, United States",US,USMO,MO117,39.7953,-93.5524,715783,20240101004500,https://news.yahoo.com/gypsy-rose-blanchard-takes-social-220822373.html,https://news.yahoo.com/gypsy-rose-blanchard-takes-social-220822373.html,Your privacy choices,,200,
1149162296,20240101,20240101004500,173,173,17,4,6,1,6,1.68421052631579,"Lowville, New York, United States",US,USNY,NY049,43.7867,-75.4919,956123,20240101004500,https://www.wwnytv.com/2023/12/31/2023-year-review-people-places/,https://www.wwnytv.com/2023/12/31/2023-year-review-people-places/,2023 Year in Review: People & Places,"As the sun sets on 2023, it’d be hard not to acknowledge the unique people and places that came to define the year here in the North Country.",200,
1149162298,20240101,20240101004500,193,193,19,4,2,1,2,-3.40218712029162,"Colorado, United States",US,USCO,,39.0646,-105.327,CO,20240101004500,https://www.latimes.com/world-nation/story/2023-12-31/maine-state-official-who-removed-trump-from-ballot-targeted-in-swatting-call-at-her-home,https://www.latimes.com/world-nation/story/2023-12-31/maine-state-official-who-removed-trump-from-ballot-targeted-in-swatting-call-at-her-home,Maine state official who removed Trump from ballot targeted in swatting call - Los Angeles Times,A fake emergency call led to officers responding to Maine Secretary of State Shenna Bellows' home after she removed the ex-president from the primary ballot.,200,
1149162299,20240101,20240101004500,042,042,04,1,8,1,4,5.26315789473684,American Samoa,AQ,AQ,,-14.32,-170.68,AQ,20240101004500,https://inlandnewstoday.com/story.php?s=73331,https://inlandnewstoday.com/story.php?s=73331,"INT: New Year 2024:  Putting the accent on hope, faith and a new beginning",,200,
1149162300,20240101,20240101004500,042,042,04,1,2,1,2,-7.58122743682311,"Hodeida, Al ?udaydah, Yemen",YM,YM08,32740,14.7978,42.9545,-3183075,20240101004500,http://www.jordantimes.com/news/region/us-strikes-kill-10-houthi-rebels-attacking-ship-red-sea,http://www.jordantimes.com/news/region/us-strikes-kill-10-houthi-rebels-attacking-ship-red-sea,,,403,bad_status_or_empty:403
1149162310,20240101,20240101004500,012,012,01,1,6,1,4,-1.88679245283018,"Club Terrace, Victoria, Australia",AS,AS07,5372,-37.5333,148.95,-1565987,20240101004500,https://www.abc.net.au/news/rural/2024-01-01/native-timber-logging-ends-in-victoria-orbost-vicforests/103270172,https://www.abc.net.au/news/rural/2024-01-01/native-timber-logging-ends-in-victoria-orbost-vicforests/103270172,Forestry towns face uncertain future as Victoria's native timber logging industry shuts down on January 1 - ABC News,"After decades of campaigning, environmental groups are celebrating the end of native timber logging in Victoria. But timber workers like Warren Fenner are grieving the end of an era, and are facing an uncertain future.",200,
1149162313,20240101,20240101004500,042,042,04,1,3,1,3,2.93367346938776,Finland,FI,FI,,64,26,FI,20240101004500,https://www.hydrocarbons-technology.com/contractors/processing-equipment-control-and-automation/kemppi/,https://www.hydrocarbons-technology.com/contractors/processing-equipment-control-and-automation/kemppi/,Kemppi - Offshore Technology,"Leading global designer and manufacturer of electric arc welding equipment and welding software solutions, Kemppi Oy, is the parent company…",200,
1149162317,20240101,20240101004500,051,051,05,1,10,1,10,5.95238095238095,"Baku, Baki*, Azerbaijan",AJ,AJ09,534,40.3953,49.8822,-2705195,20240101004500,https://menafn.com/1107672849/Capital-Of-Azerbaijan-Welcomes-2024-With-Grand-Salute-PHOTO,https://menafn.com/1107672849/Capital-Of-Azerbaijan-Welcomes-2024-With-Grand-Salute-PHOTO,Capital Of Azerbaijan Welcomes 2024 With Grand Salute (PHOTO),"Capital Of Azerbaijan Welcomes 2024 With Grand Salute (PHOTO).  <strong> BAKU, Azerbaijan, January 1. </strong> The Azerbaijani
people welcomed the year 2024 with grand fireworks in the first
minutes of the New Year in the Seaside National Park in Baku,
Trend re",200,
1149162320,20240101,20240101004500,0353,035,03,1,1,1,1,1.25628140703518,"Schengen, Grevenmacher, Luxembourg",LU,LU02,19179,49.4717,6.36583,-1736405,20240101004500,https://global.chinadaily.com.cn/a/202401/01/WS6591fd27a3105f21a5079e7d.html,https://global.chinadaily.com.cn/a/202401/01/WS6591fd27a3105f21a5079e7d.html,"Bulgaria, Romania to join Schengen area - Chinadaily.com.cn",,200,
1149162322,20240101,20240101004500,173,173,17,4,10,1,10,-5.83657587548638,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20240101004500,https://www.wonkette.com/p/2023-the-year-george-santos-truly,https://www.wonkette.com/p/2023-the-year-george-santos-truly,"2023, The Year George Santos Truly Became President",He's still less pathetic than Kevin McCarthy.,200,
1149162323,20240101,20240101004500,010,010,01,1,10,1,10,-2.10772833723654,"Hangzhou, Zhejiang, China",CH,CH02,13319,30.2553,120.169,-1908366,20240101004500,https://www.foxbusiness.com/markets/maersk-pauses-red-sea-voyages-day-after-houthis-attack-ship,https://www.foxbusiness.com/markets/maersk-pauses-red-sea-voyages-day-after-houthis-attack-ship,Maersk pauses Red Sea voyages a day after Houthis attack ship | Fox Business,"Maersk said it will pause all voyages through the Red Sea and Suez Canal until at least Jan. 2, after one of its ships was attacked by Houthi rebels on Saturday.",200,
1149162324,20240101,20240101004500,010,010,01,1,3,1,3,-4.71204188481675,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101004500,https://wondradio.com/abc-world/0175448b21192bd4cebb85eb863d52da,https://wondradio.com/abc-world/0175448b21192bd4cebb85eb863d52da,,,404,bad_status_or_empty:404
1149162336,20240101,20240101004500,010,010,01,1,8,1,4,1.04712041884817,Canada,CA,CA,,60,-96,CA,20240101004500,https://www.aceshowbiz.com/news/view/00217424.html,https://www.aceshowbiz.com/news/view/00217424.html,Metro Boomin Brushes Off Drake Beef Rumors,"The 30-year-old record producer set the record straight when responding to someone on X, formerly Twitter, asking whether he was seriously feuding with the Canadian rap star.",200,
1149162341,20240101,20240101004500,020,020,02,1,6,1,6,0.69204152249135,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20240101004500,https://www.bbc.co.uk/news/world-africa-67832831,https://www.bbc.co.uk/news/world-africa-67832831,The Nigerian teens clueless on computers but aiming to reboot - BBC News,Many young Nigerians fail their university entrance exams as they lack very basic tech skills.,200,
1149162342,20240101,20240101004500,020,020,02,1,4,2,4,0.67039518200564,"Lagos, Lagos, Nigeria",NI,NI05,191416,6.45306,3.39583,-2017355,20240101004500,https://news.yahoo.com/nigerian-teens-clueless-computers-aiming-001743352.html,https://news.yahoo.com/nigerian-teens-clueless-computers-aiming-001743352.html,Your privacy choices,,200,
1149162345,20240101,20240101004500,010,010,01,1,4,1,4,-8.43023255813953,"Houston, Texas, United States",US,USTX,TX201,29.7633,-95.3633,1380948,20240101004500,https://www.foxnews.com/us/houston-man-alzheimers-brutally-beaten-robbed-parking-lot,https://www.foxnews.com/us/houston-man-alzheimers-brutally-beaten-robbed-parking-lot,"Houston man with Alzheimer’s brutally beaten, robbed in parking lot | Fox News",A man suffering from dementia and Alzheimer's was beaten and assaulted after exiting his vehicle in the parking lot of La Michoacana Meat Market in North Houston last week.,200,
1149162349,20240101,20240101004500,090,090,09,2,20,1,10,-3.66088631984586,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20240101004500,https://mykiss1031.com/ixp/156/p/texas-police-search-vehicle-no-warrant/,https://mykiss1031.com/ixp/156/p/texas-police-search-vehicle-no-warrant/,Can Texas Police Legally Search Your Vehicle Without a Warrant?,"Most have been stopped by police, but what about having a vehicle searched? What's the law around police searching your vehicle in Texas?",200,
1149162351,20240101,20240101004500,173,173,17,4,6,1,6,-4.24895272292041,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20240101004500,https://wondradio.com/abc-national/483dc9e463d8cd32bcdaeef3df7cba7c,https://wondradio.com/abc-national/483dc9e463d8cd32bcdaeef3df7cba7c,,,404,bad_status_or_empty:404
1149162363,20240101,20240101004500,173,173,17,4,8,1,8,-14.8514851485149,"Las Vegas, Nevada, United States",US,USNV,,36.175,-115.137,847388,20240101004500,https://www.kolotv.com/2024/01/01/las-vegas-police-officer-arrested-felony-stalking-charge/,https://www.kolotv.com/2024/01/01/las-vegas-police-officer-arrested-felony-stalking-charge/,Las Vegas police officer arrested on felony stalking charge,"Jake Freeman, 30, was booked into the Henderson Detention Center on felony charges of aggravated stalking, attempted home invasion and damaging property of another,",200,
1149162364,20240101,20240101004500,173,173,17,4,5,1,5,-5.55555555555555,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20240101004500,https://wfin.com/fox-national-news/armed-off-duty-cop-sends-suspected-carjackers-fleeing-as-crime-spirals-near-nations-capital/,https://wfin.com/fox-national-news/armed-off-duty-cop-sends-suspected-carjackers-fleeing-as-crime-spirals-near-nations-capital/,,,403,bad_status_or_empty:403
1149162366,20240101,20240101004500,111,111,11,3,6,1,6,-1.45278450363196,"Colorado, United States",US,USCO,,39.0646,-105.327,CO,20240101004500,https://www.businessinsider.com/lauren-boebert-colorado-house-district-switch-2024-elections-gop-conservatives-2023-12,https://www.businessinsider.com/lauren-boebert-colorado-house-district-switch-2024-elections-gop-conservatives-2023-12,Boebert's District Switch Could Backfire Spectacularly on Colorado GOP - Business Insider,Rep. Lauren Boebert's decision to switch districts could deflate conservative enthusiasm in the 3rd district and help Democrats flip the seat in 2024.,200,
1149162395,20240101,20240101004500,020,020,02,1,10,1,10,0.89820359281437,,,,,,,,20240101004500,https://www.mamamia.com.au/school-shopping-tips-2024/,https://www.mamamia.com.au/school-shopping-tips-2024/,,"""I find that having a stash means I donât end up spending an exorbitant amount on the back-to-school shop.""",200,
1149162425,20240101,20240101004500,010,010,01,1,5,1,5,-3.21608040201005,India,IN,IN,,20,77,IN,20240101004500,https://www.financialexpress.com/opinion/rocky-road-ahead-for-rodtep-the-us-and-the-eu-cvds-on-rodtep-coverage-dont-augur-well-for-the-scheme/3352127/,https://www.financialexpress.com/opinion/rocky-road-ahead-for-rodtep-the-us-and-the-eu-cvds-on-rodtep-coverage-dont-augur-well-for-the-scheme/3352127/,,,403,bad_status_or_empty:403
1149162426,20240101,20240101004500,012,012,01,1,5,1,5,-1.12359550561798,"Accra, Greater Accra, Ghana",GH,GH01,190655,5.55,-0.216667,-2067935,20240101004500,https://gna.org.gh/2023/12/2024-exhibit-high-level-of-integrity-professionalism-at-all-times-jusag-tells-members/,https://gna.org.gh/2023/12/2024-exhibit-high-level-of-integrity-professionalism-at-all-times-jusag-tells-members/,"2024: Exhibit high level of integrity, professionalism at all times- JUSAG tells members  | Ghana News Agency","By Joyce Danso Accra, Dec. 31, GNA- The Judicial Service Staff Association of Ghana (JUSAG) has asked its members to continue to exhibit a high level of integrity…",200,
1149162430,20240101,20240101004500,023,023,02,1,10,1,10,0,,,,,,,,20240101004500,https://www.kvrr.com/2023/12/31/crews-respond-to-house-fire-in-richland-county/,https://www.kvrr.com/2023/12/31/crews-respond-to-house-fire-in-richland-county/,Crews respond to house fire in Richland County - KVRR Local News,"FAIRMOUNT, N.D. (KVRR/KFGO) — The Fairmount Fire Department received a report of a house on fire around 10:30 Saturday night in the 200 block of 2nd Street South. When the fire crew arrived, the house was fully engulfed. Fairmount Fire requested mutual aid from the Hankinson Fire Department. No one was hurt in the fire. The homeowner was home at...",200,
1149162435,20240101,20240101004500,050,050,05,1,5,1,5,0.43336944745396,India,IN,IN,,20,77,IN,20240101004500,https://www.financialexpress.com/policy/economy-run-up-to-the-interim-budget-2024-25-capex-growth-to-slow-outlay-may-be-up-10-3352110/,https://www.financialexpress.com/policy/economy-run-up-to-the-interim-budget-2024-25-capex-growth-to-slow-outlay-may-be-up-10-3352110/,,,403,bad_status_or_empty:403
1149162437,20240101,20240101004500,060,060,06,2,4,1,4,-0.70796460176991,"Madhya Pradesh, Madhya Pradesh, India",IN,IN35,17744,23.5,78.5,-2103026,20240101004500,https://www.hindustantimes.com/india-news/the-tricky-business-of-playing-the-castes-card-looking-ahead-into-2024-101704047718292.html,https://www.hindustantimes.com/india-news/the-tricky-business-of-playing-the-castes-card-looking-ahead-into-2024-101704047718292.html,The tricky business of playing the castes card: Looking ahead into 2024| India News,"The Congress and BJP are both trying new tacks. The key will be holding on to their traditional bases, while navigating caste.| India News",200,
1149162443,20240101,20240101004500,043,043,04,1,8,1,8,1.24223602484472,"Amman, (JO11), Jordan",JO,JO11,36728,31.95,35.9333,-970362,20240101004500,http://www.jordantimes.com/news/local/baptism-site-welcomes-record-212000-visitors-2023,http://www.jordantimes.com/news/local/baptism-site-welcomes-record-212000-visitors-2023,,,403,bad_status_or_empty:403
1149162445,20240101,20240101004500,020,020,02,1,10,1,10,-2.39234449760766,"Nagargao, India (general), India",IN,IN00,17679,15.5667,74.15,-2105392,20240101004500,https://www.heraldgoa.in/Goa/Deadline-over-but-Tiger-Reserve-still-a-dream/215958,https://www.heraldgoa.in/Goa/Deadline-over-but-Tiger-Reserve-still-a-dream/215958,,,508,bad_status_or_empty:508
1149162458,20240101,20240101004500,017,017,01,1,5,1,5,6.25850340136055,,,,,,,,20240101004500,https://screenrant.com/doctor-who-ncuti-gatwa-matt-smith-advice/,https://screenrant.com/doctor-who-ncuti-gatwa-matt-smith-advice/,Ncuti Gatwa Reveals Matt Smith's Helpful Doctor Who Advice,New Doctor Who star Ncuti Gatwa reveals the valuable advice Matt Smith gave him as he began his time on the beloved science-fiction show.,200,
1149162481,20240101,20240101004500,051,051,05,1,2,1,2,13.5135135135135,Azerbaijan,AJ,AJ,,40.5,47.5,AJ,20240101004500,https://en.trend.az/azerbaijan/politics/3844514.html,https://en.trend.az/azerbaijan/politics/3844514.html,Israeli Embassy congratulates Azerbaijani people - Trend.Az,,200,
1149162529,20240101,20240101004500,120,120,12,3,8,1,8,-1.63934426229509,United States,US,US,,39.828175,-98.5795,US,20240101004500,https://auckland.scoop.co.nz/2024/01/,https://auckland.scoop.co.nz/2024/01/,Auckland.Scoop » 2024 » January,,200,
1149162575,20240101,20240101004500,195,195,19,4,12,2,12,-4.851966873706,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101004500,https://www.limaohio.com/top-stories/2023/12/31/us-navy-helicopters-fire-at-yemens-houthi-rebels-and-kill-several-in-latest-red-sea-shipping-attack/,https://www.limaohio.com/top-stories/2023/12/31/us-navy-helicopters-fire-at-yemens-houthi-rebels-and-kill-several-in-latest-red-sea-shipping-attack/,,,403,bad_status_or_empty:403
1149162582,20240101,20240101004500,090,090,09,2,10,1,10,-2.05128205128205,,,,,,,,20240101004500,http://www.jordantimes.com/news/business/boeing-shares-lower-it-urges-737-max-inspections,http://www.jordantimes.com/news/business/boeing-shares-lower-it-urges-737-max-inspections,,,403,bad_status_or_empty:403
1149162584,20240101,20240101004500,051,051,05,1,8,2,8,-1.9867061498702,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20240101004500,https://news.yahoo.com/eve-sweeps-across-mideast-europe-001551777.html,https://news.yahoo.com/eve-sweeps-across-mideast-europe-001551777.html,Your privacy choices,,200,
1149162622,20240101,20240101004500,010,010,01,1,10,1,10,0,"Rogun, Districts Under Republic Administation, Tajikistan",TI,TI05,37625,38.7826,69.8708,-2556788,20240101004500,https://menafn.com/1107672847/Tajikistan-Reveals-Timeline-For-Commissioning-Third-Unit-Of-Rogun-HPP,https://menafn.com/1107672847/Tajikistan-Reveals-Timeline-For-Commissioning-Third-Unit-Of-Rogun-HPP,Tajikistan Reveals Timeline For Commissioning Third Unit Of Rogun HPP,"Tajikistan Reveals Timeline For Commissioning Third Unit Of Rogun HPP.  <strong> DUSHANBE, Tajikistan, January 1. </strong> Tajikistan
aims to commission the third hydraulic power unit of the Rogun
hydropower plant (HPP) in 2025, the country's President Emomali
Rahmon s",200,
1149162644,20240101,20240101004500,017,017,01,1,10,1,10,2.62295081967213,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,20240101004500,https://kiow.com/2023/12/31/north-iowa-outdoors-first-day-hikes-scheduled/,https://kiow.com/2023/12/31/north-iowa-outdoors-first-day-hikes-scheduled/,First Day Hikes Scheduled – Mix 107.3 KIOW,Iowans are being encouraged to make plans to spend some time on New Year's Day in the state's great outdoors by taking part in any of two dozen First,200,
1149162670,20240101,20240101004500,172,172,17,4,6,1,6,-7.75862068965517,"Beltrami County, Minnesota, United States",US,USMN,,47.9166,-94.9003,659449,20240101004500,https://www.kvrr.com/2023/12/31/vehicle-restriction-on-upper-red-lake/,https://www.kvrr.com/2023/12/31/vehicle-restriction-on-upper-red-lake/,Vehicle restriction on Upper Red Lake - KVRR Local News,"BELTRAMI COUNTY, Minn. (KVRR) — Vehicles are barred from going on Upper Red Lake. The move went into effect at sunset on December 30. Beltrami County officials say this decision has been made after several incidents where people became stranded after breaking ice. The restriction is in place until the Sheriff rescinds the order. Authorities say snowmobiles, all-terrain vehicles and...",200,
1149162741,20240101,20240101004500,010,010,01,1,10,1,10,-0.30769230769231,,,,,,,,20240101004500,https://www.mediaite.com/news/msnbcs-kornacki-has-devastating-report-on-bidens-epic-bad-polling-for-new-year/,https://www.mediaite.com/news/msnbcs-kornacki-has-devastating-report-on-bidens-epic-bad-polling-for-new-year/,MSNBC’s Kornacki Has Devastating Report On Biden’s Epic Bad Polling For New Year,"President Joe Biden's approval numbers are a new and inauspicious record for NBC's polling at this point ahead of a reelection, beating even Trump and Bush Sr.",200,
1149163112,20230101,20240101010000,051,051,05,1,1,1,1,-5.12820512820513,Ukraine,UP,UP,,49,32,UP,20240101010000,https://www.aljazeera.com/program/inside-story/2023/12/31/is-the-war-in-ukraine-at-a-stalemate-3,https://www.aljazeera.com/program/inside-story/2023/12/31/is-the-war-in-ukraine-at-a-stalemate-3,Is the war in Ukraine at a stalemate? | Russia-Ukraine war | Al Jazeera,"Russia’s economy withstands Western sanctions, while US political divisions are worrying Kyiv.",200,
1149163115,20231202,20240101010000,071,071,07,2,4,1,4,-5.59701492537314,"Gloucestershire, Gloucestershire, United Kingdom",UK,UKE6,40113,51.8333,-2.16667,-2597217,20240101010000,https://www.wiltsglosstandard.co.uk/news/national/24020404.police-northern-ireland-slowly-strangled-government---federation/,https://www.wiltsglosstandard.co.uk/news/national/24020404.police-northern-ireland-slowly-strangled-government---federation/,Police in Northern Ireland being ‘slowly strangled’ by Government – federation | Wilts and Gloucestershire Standard,Police Federation chief Liam Kelly said ministers are using public services pay as a ‘political bargaining chip’.,200,
1149163117,20240101,20240101010000,070,070,07,2,2,1,2,-3.09789343246592,Afghanistan,AF,AF,,33,66,AF,20240101010000,https://www.livemint.com/opinion/online-views/goodbye-multipolarity-hello-bipolarity-11704047080569.html,https://www.livemint.com/opinion/online-views/goodbye-multipolarity-hello-bipolarity-11704047080569.html,Goodbye multipolarity; hello bipolarity? | Mint,"Not only is multipolarity a myth, but the system remains closer to unipolarity than to Cold War-style bipolarity. Though China is rising, the world’s largest-ever power gap will take a long time to close.",200,
1149163122,20240101,20240101010000,030,030,03,1,3,1,3,-1.53846153846154,"Mogadore, Ohio, United States",US,USOH,OH153,41.0464,-81.3979,1077531,20240101010000,https://www.rubbernews.com/expansion/hexpol-silicones-continues-grow-triples-space-akron,https://www.rubbernews.com/expansion/hexpol-silicones-continues-grow-triples-space-akron,"Hexpol Silicones continues to grow, triples space in Akron - Rubber News","The company's short move from Mogadore, Ohio, will have long-term benefits, as the company increased from about 14,000 square feet to 40,000 square feet.",200,
1149163123,20240101,20240101010000,040,040,04,1,10,1,10,-0.14866204162538,"Town Of Avon, Colorado, United States",US,USCO,,39.6448,-106.514,2411658,20240101010000,https://www.vaildaily.com/news/what-is-the-safest-way-to-cross-us-highway-6-avon-seeks-solution-for-busy-intersection/,https://www.vaildaily.com/news/what-is-the-safest-way-to-cross-us-highway-6-avon-seeks-solution-for-busy-intersection/,What is the safest way to cross US Highway 6? Avon seeks solution for busy intersection | VailDaily.com,"The town of Avon wants to make crossing U.S. Highway 6 safer for pedestrians. On Wednesday, Dec. 20, Avon senior project engineer Drew Stewart hosted a town hall to discuss facilitating a safer, more efficient...",200,
1149163130,20240101,20240101010000,042,042,04,1,8,1,8,6.88705234159779,"Edinburgh, Edinburgh, City of, United Kingdom",UK,UKU8,40173,55.95,-3.2,-2595386,20240101010000,https://www.dailyrecord.co.uk/news/scottish-news/happy-new-year-2024-scotland-31777997,https://www.dailyrecord.co.uk/news/scottish-news/happy-new-year-2024-scotland-31777997,Happy New Year 2024 as Scotland celebrates Hogmanay - Daily Record,"An estimated 50,000 people packed onto Edinburgh's Princes Street for the iconic street party before a fireworks display about the castle at midnight.",200,
1149163133,20240101,20240101010000,190,190,19,4,2,1,2,-0.37220843672457,"Brize Norton, Oxfordshire, United Kingdom",UK,UKK2,40127,51.7667,-1.56667,-2590939,20240101010000,https://www.bbc.com/news/uk-67844356,https://www.bbc.com/news/uk-67844356,Justin Welby: Political leaders should treat opponents as human beings,"The Archbishop of Canterbury urges politicians to ""forswear wedge issues"" and avoid divisive topics.",200,
1149163136,20240101,20240101010000,040,040,04,1,5,1,5,1.1443661971831,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20240101010000,https://www.johansen.se/blog/2023/12/31/cabinet-papers-2003-howard-government-sends-australia-into-the-iraq-war/,https://www.johansen.se/blog/2023/12/31/cabinet-papers-2003-howard-government-sends-australia-into-the-iraq-war/,,,404,bad_status_or_empty:404
1149163139,20240101,20240101010000,020,020,02,1,2,1,2,3.485254691689,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,20240101010000,https://www.premiumtimesng.com/opinion/655492-the-great-buhaba-toyin-falola-at-71-by-serges-kamga.html,https://www.premiumtimesng.com/opinion/655492-the-great-buhaba-toyin-falola-at-71-by-serges-kamga.html,,,200,
1149163145,20240101,20240101010000,042,042,04,1,8,1,8,-1.53958944281525,"Tonle Sap, Cambodia (general), Cambodia",CB,CB00,12390,11.5634,104.939,-1032576,20240101010000,https://news.mongabay.com/list/vietnam/,https://news.mongabay.com/list/vietnam/,Conservation news on Vietnam,Environmental science and conservation news,200,
1149163147,20240101,20240101010000,036,036,03,1,5,1,5,-5.22875816993464,South Korea,KS,KS,,37,127.5,KS,20240101010000,https://www.webwire.com/ViewPressRel.asp?aId=316018,https://www.webwire.com/ViewPressRel.asp?aId=316018,Anges injury update on Pape Matar Sarr and Alejo Veliz  |  WebWire,"Ange Postecoglou gave updates on   Pape Matar Sarr   and   Alejo Veliz   after losing both players to injury in our 3-1 win against AFC Bournemouth on Sunday.  Pape started brilliantly and opened the scoring on nine minutes at Tottenham Hotspur Stadium. However, he was down on the half-hour mark and forced off, visibly upset, replaced by Oliver Skipp. Alejo joined the action off the bench as we defended a 3-0 lead and appeared to take a contact in the box late on. Clearly in pain, he hobbl...",200,
1149163152,20240101,20240101010000,043,043,04,1,4,1,4,-3.1104199066874,"Puerto Vallarta, Jalisco, Mexico",MX,MX14,20887,20.6167,-105.25,-1690444,20240101010000,https://kitchener.ctvnews.ca/most-read-stories-of-the-week-rescheduled-christmas-flight-stolen-butter-doordash-house-crash-1.6706426,https://kitchener.ctvnews.ca/most-read-stories-of-the-week-rescheduled-christmas-flight-stolen-butter-doordash-house-crash-1.6706426,"Most-read stories of the week: Rescheduled Christmas flight, stolen butter, DoorDash house crash","Last-minute Christmas flight rescheduling, $1,000 worth of stolen butter, and a DoorDash driver crashing into a house round out the most-read stories of the week.",200,
1149163154,20240101,20240101010000,190,190,19,4,10,1,10,-7.61802575107297,"Shati, Khuzestan, Iran",IR,IR15,41115,31.6143,48.5643,-3764889,20240101010000,https://legalinsurrection.com/2023/12/u-s-navy-sinks-three-houthi-boats-attacking-cargo-ship-in-red-sea/,https://legalinsurrection.com/2023/12/u-s-navy-sinks-three-houthi-boats-attacking-cargo-ship-in-red-sea/,U.S. Navy Sinks Three Houthi Boats Attacking Cargo Ship in Red Sea,"Also, IDF Continues to Dismantle Hamas' Terrorist Infrastructure in Gaza",200,
1149163155,20240101,20240101010000,046,046,04,1,20,2,20,-0.38160137204988,"Melitopol, Zaporiz'ka Oblast', Ukraine",UP,UP26,28566,46.8489,35.3653,-1046418,20240101010000,https://menafn.com/1107672841/President-Zelensky-Delivers-New-Years-Address,https://menafn.com/1107672841/President-Zelensky-Delivers-New-Years-Address,President Zelensky Delivers New Year's Address,"President Zelensky Delivers New Year's Address. President of Ukraine Volodymyr Zelensky has delivered a New Year's address to the Ukrainian people. The video address was posted by the Head of State on the official Telegram  channel, an Ukrinfor",200,
1149163156,20240101,20240101010000,040,040,04,1,3,1,3,-2.86944045911047,"Capitol Hill, District of Columbia, United States",US,USDC,,38.889,-77.0003,529313,20240101010000,https://www.theyeshivaworld.com/news/general/2250296/sen-fetterman-says-he-thought-his-depression-treatment-would-end-his-political-career.html,https://www.theyeshivaworld.com/news/general/2250296/sen-fetterman-says-he-thought-his-depression-treatment-would-end-his-political-career.html,Sen. Fetterman Says He Thought His Depression Treatment Would End His Political Career – The Yeshiva World,"Sen. John Fetterman acknowledges having “dark conversations” about harming himself before he hit “the emergency brake” and sought treatment for depression. He remembers thinking about his three school-age kids. “I can’t be a blueprint for my children. I can’t let them be left alone or not to understand why he would have done that,” the […]",200,
1149163158,20240101,20240101010000,042,042,04,1,1,1,1,0.53285968028419,"Cincinnati Water Works, Ohio, United States",US,USOH,,39.0742,-84.4213,1080065,20240101010000,https://www.yahoo.com/news/epa-wants-lead-pipes-replaced-000052720.html,https://www.yahoo.com/news/epa-wants-lead-pipes-replaced-000052720.html,Your privacy choices,,200,
